,user_id,rating,title
0,276744,7,A Painted House
1,276747,8,Birdsong: A Novel of Love and War
2,276755,5,The Pillars of the Earth
3,276788,8,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)"
4,276804,8,A Wrinkle In Time
5,276822,10,"Artemis Fowl (Artemis Fowl, Book 1)"
6,276822,10,Random Acts of Kindness
7,276830,9,Move to Strike
8,276832,5,Back When We Were Grownups : A Novel (Ballantine Reader's Circle)
9,276837,5,Go Ask Alice (Avon/Flare Book)
10,276850,7,Alaska
11,276872,8,Toxin
12,276872,8,Whispers
13,276887,9,Ender's Game (Ender Wiggins Saga (Paperback))
14,276896,10,The King of Torts
15,276925,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
16,276928,5,Charlotte's Web
17,276953,10,To Kill a Mockingbird
18,276957,6,Four To Score (A Stephanie Plum Novel)
19,276964,10,The Terminal Man
20,276964,9,The Chamber
21,276964,7,Tailchaser's Song
22,276986,10,The Idiot Girls' Action Adventure Club
23,276986,10,Go Ask Alice
24,277018,7,I Never Promised You a Rose Garden
25,277028,10,Perish Twice
26,277042,8,Running with Scissors
27,277042,8,Violets Are Blue
28,277042,2,Wild Animus
29,277051,10,Restaurant At the End of the Universe
30,277124,9,Mortal Prey
31,277124,9,Writ of Execution
32,277143,8,Tender at the Bone: Growing Up at the Table
33,277157,5,City of Bones
34,277157,5,Saving Faith
35,277157,7,The Devil's Code
36,277157,7,Perish Twice
37,277157,6,Mortal Prey
38,277168,4,The Green Mile
39,277171,8,The Ritual Bath (Peter Decker &amp; Rina Lazarus Novels (Paperback))
40,277171,7,Night over Water
41,277179,10,Holes (Yearling Newbery)
42,277187,9,The English Patient
43,277195,10,I Know This Much Is True (Oprah's Book Club)
44,277195,10,Into the Forest
45,277195,10,How Stella Got Her Groove Back
46,277195,10,She's Come Undone (Oprah's Book Club)
47,277195,10,Color Purple
48,277197,8,The Beach House
49,277197,7,White Teeth: A Novel
50,277197,6,Mount Vernon Love Story : A Novel of George and Martha Washington
51,277203,9,The Cat in the Hat
52,277212,8,A Painted House
53,277229,7,The Amazing Adventures of Kavalier &amp; Clay
54,277235,10,White Teeth: A Novel
55,277237,7,The Devil Wears Prada : A Novel
56,277253,9,Coraline
57,277315,8,Divine Secrets of the Ya-Ya Sisterhood : A Novel
58,277315,5,Little Altars Everywhere: A Novel
59,277364,5,The Perfect Husband
60,277378,7,The Red Tent (Bestselling Backlist)
61,277378,4,A Walk to Remember
62,277378,7,Bridget Jones : The Edge of Reason
63,277378,5,The Bonesetter's Daughter
64,277397,8,The Cat Who Said Cheese
65,277427,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
66,277427,8,Me Talk Pretty One Day
67,277427,8,The Return of the Indian (Indian in the Cupboard)
68,277427,9,The Rainmaker
69,277427,9,Oryx and Crake
70,277427,9,Lord of the Flies
71,277427,8,The Cardinal of the Kremlin (Jack Ryan Novels)
72,277427,9,The Hunt for Red October (Jack Ryan Novels)
73,277427,7,The Partner
74,277427,9,Gone for Good
75,277427,10,The Once and Future King
76,277427,9,Presumed Innocent
77,277427,10,Saving Faith
78,277427,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
79,277427,10,Doomsday Book
80,277427,10,The Beekeeper's Apprentice
81,277427,10,Vertical Run
82,277427,9,A Monstrous Regiment of Women
83,277427,8,Mindhunter : Inside the FBI's Elite Serial Crime Unit
84,277427,9,Winter's Tale
85,277427,10,A Simple Plan
86,277427,5,Toujours Provence (Vintage Departures)
87,277427,8,Trading Places
88,277427,10,Tender at the Bone: Growing Up at the Table
89,277427,10,Ice Bound: A Doctor's Incredible Battle for Survival at the South Pole
90,277427,10,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes
91,277427,10,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis"
92,277427,10,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection
93,277427,10,Prehistory of the Far Side
94,277427,10,Dilbert Fugitive From The Cubicle Police
95,277439,7,The Lovely Bones: A Novel
96,277439,7,Dirty Work
97,277462,10,The Red Tent (Bestselling Backlist)
98,277466,7,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))
99,277466,8,Still Waters
100,277466,8,A Thin Dark Line (Mysteries &amp; Horror)
101,277469,9,The Alienist
102,277478,7,James Herriot's Cat Stories
103,277478,7,A Place of Execution
104,277478,8,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul)
105,277502,9,The Mistress of Spices
106,277506,10,The Clan of the Cave Bear : a novel
107,277509,9,The Piano Tuner : A Novel
108,277523,10,3rd Degree
109,277523,10,2nd Chance
110,277523,10,The King of Torts
111,277523,10,The King of Torts
112,277523,10,Split Second
113,277523,10,The Jester
114,277523,10,Hemlock Bay
115,277523,10,A Cry In The Night
116,277523,10,Before I Say Good-Bye : A Novel
117,277523,10,Daddy's Little Girl
118,277523,10,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))
119,277527,10,Me Talk Pretty One Day
120,277527,8,Lolita (Vintage International)
121,277533,6,The House on Mango Street (Vintage Contemporaries)
122,277535,9,The Pilot's Wife : A Novel
