,title,author,image,description
0,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,http://images.amazon.com/images/P/0345443683.01.MZZZZZZZ.jpg,"Perennial bestseller Anne Rice fuses her two uniquely seductive strains of narrative—her Vampire legend and her lore of the Mayfair witches—to give us a world of classic deep-south luxury and ancestral secrets. Welcome to Blackwood Farm: soaring white columns, spacious drawing rooms, bright, sun-drenched gardens, and a dark strip of the dense Sugar Devil Swamp. This is the world of Quinn Blackwood, a brilliant young man haunted since birth by a mysterious doppelgänger, “Goblin,” a spirit from a dream world that Quinn can’t escape and that prevents him from belonging anywhere. When Quinn is made a Vampire, losing all that is rightfully his and gaining an unwanted immortality, his doppelgänger becomes even more vampiric and terrifying than Quinn himself. As the novel moves backwards and forwards in time, from Quinn’s boyhood on Blackwood Farm to present day New Orleans, from ancient Athens to 19th-century Naples, Quinn seeks out the legendary Vampire Lestat in the hope of freeing himself from the spectre that draws him inexorably back to Sugar Devil Swamp and the explosive secrets it holds. A story of youth and promise, of loss and the search for love, of secrets and destiny, Blackwood Farm is Anne Rice at her mesmerizing best."
1,Ava's Man,Rick Bragg,http://images.amazon.com/images/P/0375724443.01.MZZZZZZZ.jpg,"With the same emotional generosity and effortlessly compelling storytelling that madeAll Over But the Shoutin’a national bestseller, Rick Bragg continues his personal history of the Deep South. This time he’s writing about his grandfather Charlie Bundrum, a man who died before Bragg was born but left an indelible imprint on the people who loved him. Drawing on their memories, Bragg reconstructs the life of an unlettered roofer who kept food on his family’s table through the worst of the Great Depression; a moonshiner who drank exactly one pint for every gallon he sold; an unregenerate brawler, who could sit for hours with a baby in the crook of his arm. In telling Charlie’s story, Bragg conjures up the backwoods hamlets of Georgia and Alabama in the years when the roads were still dirt and real men never cussed in front of ladies. A masterly family chronicle and a human portrait so vivid you can smell the cornbread and whiskey,Ava’s Manis unforgettable."
2,Crossings,DANIELLE STEEL,http://images.amazon.com/images/P/044011585X.01.MZZZZZZZ.jpg,"Sailing to France aboard the majestic Normandie amid rumors of an impending world war, the glamorous Liane De Villiers, wife of the French ambassador, meets a handsome American steel magnate trapped in a loveless marriage. Reissue."
3,Blackwood Farm (The Vampire Chronicles),Anne Rice,http://images.amazon.com/images/P/0375411992.01.MZZZZZZZ.jpg,A young man haunted by a doppelgänger discovers that the creature becomes even more terrifying after he becomes a vampire.
4,The Witch of Blackbird Pond (Yearling Newbery),ELIZABETH GEORGE SPEARE,http://images.amazon.com/images/P/0440495962.01.MZZZZZZZ.jpg,"Kit Tyler must leave behind shimmering Caribbean islands to join the stern Puritan community of her relatives. She soon feels caged, until she meets the old woman known as the Witch of Blackbird Pond. But when their friendship is discovered, Kit herself is accused of witchcraft!"
5,Blood Orchid,Stuart Woods,http://images.amazon.com/images/P/0451208811.01.MZZZZZZZ.jpg,"“Savvy, sexy”* police chief Holly Barker gets introduced to the cutthroat world of Florida real estate in this New York Times bestselling thriller from Stuart Woods. Blood Orchid: the name of Ed Shine’s favorite flower—and his latest real-estate venture. New to town, the dapper developer makes the acquaintance of Holly, her father Ham, and her wily Doberman, Daisy. It’s just as Holly’s trying to get her life back together after the shattering loss of someone very close to her. But before she can settle back into her routine, bullets crash into the home of a friend and a floater is found bobbing in the Intercoastal Waterway. Joining forces with a handsome FBI agent, Holly tracks the clues straight back to their source, only to find a scam more lucrative and more dangerous than any this idyllic town—or Holly—has ever seen..."
6,Mitigating Circumstances,Nancy Taylor Rosenberg,http://images.amazon.com/images/P/0451176723.01.MZZZZZZZ.jpg,"D.A. Lily Forrester finds herself trapped in a nightmare of violence when her teenaged daughter is raped and she tries to seek revenge, only to be faced with an endless barrage of personal and professional obstacles."
7,El Codigo Da Vinci / The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/8495618605.01.MZZZZZZZ.jpg,"Een Amerikaanse kunsthistoricus wordt verdacht van moord in het Louvre, wat hem dwingt via cryptische aanwijzingen de ware schuldige te vinden."
8,"FOREVER : A Novel of Good and Evil, Love and Hope",Judy Blume,http://images.amazon.com/images/P/0671695304.01.MZZZZZZZ.jpg,Two high school seniors believe their love to be so strong that it will last forever.
9,"The Venetian's Wife: A Strangely Sensual Tale of a Renaissance Explorer, a Computer, and a Metamorphosis",Nick Bantock,http://images.amazon.com/images/P/0811811409.01.MZZZZZZZ.jpg,"The newest novel by the acclaimed author/illustrator of the Griffin & Sabine trilogy is part love story, part mystery, and part ghostly tale--an altogether bewitching brew of sensualtiy and lost treasures. A young woman's obsession with a drawing of Shiva, the Hindu god, leads to a curious job offer: to find the few remaining pieces of a 15-th century adventurer's renowed collection of Indian sculptures. 90+ color illustrations."
10,Ragtime,E. L. Doctorow,http://images.amazon.com/images/P/0452279070.01.MZZZZZZZ.jpg,"Doctorow's big bestseller, made into a major movie and now repackaged, was first published in mass market paper by Bantam."
11,Housekeeping,Marilynn Robinson,http://images.amazon.com/images/P/0553205757.01.MZZZZZZZ.jpg,Описание отсутствует
